Organism_Code	Organism_Name
ola	Oryzias latipes (Japanese medaka)
oml	Oryzias melastigma (Indian medaka)
csai	Cololabis saira (Pacific saury)
xma	Xiphophorus maculatus (southern platyfish)
xco	Xiphophorus couchianus (Monterrey platyfish)
xhe	Xiphophorus hellerii (green swordtail)
pret	Poecilia reticulata (guppy)
pfor	Poecilia formosa (Amazon molly)
plai	Poecilia latipinna (sailfin molly)
pmei	Poecilia mexicana (shortfin molly)
gaf	Gambusia affinis (western mosquitofish)
pprl	Poeciliopsis prolifica (blackstripe livebearer)
cvg	Cyprinodon variegatus (sheepshead minnow)
ctul	Cyprinodon tularosa (White Sands pupfish)
gmu	Girardinichthys multiradiatus (darkedged splitfin)
nfu	Nothobranchius furzeri (turquoise killifish)
kmr	Kryptolebias marmoratus (mangrove rivulus)
alim	Austrofundulus limnaeus (annual killifish)
nwh	Nematolebias whitei (Rio pearlfish)
aoce	Amphiprion ocellaris (clown anemonefish)
eja	Embiotoca jacksoni (black perch)
bfre	Brachyistius frenatus (kelp perch)
mcep	Mugil cephalus (flathead mullet)
csem	Cynoglossus semilaevis (tongue sole)
pov	Paralichthys olivaceus (Japanese flounder)
ssen	Solea senegalensis (Senegalese sole)
ssoe	Solea solea (common sole)
hhip	Hippoglossus hippoglossus (Atlantic halibut)
hsp	Hippoglossus stenolepis (Pacific halibut)
pplt	Pleuronectes platessa (European plaice)
smau	Scophthalmus maximus (turbot)
lcf	Lates calcarifer (barramundi perch)
sdu	Seriola dumerili (greater amberjack)
slal	Seriola lalandi dorsalis (Yellowtail amberjack)
xgl	Xiphias gladius (swordfish)
hcq	Hippocampus comes (tiger tail seahorse)
sscv	Syngnathus scovelli (Gulf pipefish)
sbia	Syngnathoides biaculeatus (alligator pipefish)
pee	Phycodurus eques (leafy seadragon)
ptao	Phyllopteryx taeniolatus (common seadragon)
bpec	Boleophthalmus pectinirostris (great blue-spotted mudskipper)
malb	Monopterus albus (swamp eel)
bspl	Betta splendens (Siamese fighting fish)
sjo	Scomber japonicus (chub mackerel)
ssco	Scomber scombrus (Atlantic mackerel)
gmh	Gadus morhua (Atlantic cod)
sasa	Salmo salar (Atlantic salmon)
stru	Salmo trutta (river trout)
otw	Oncorhynchus tshawytscha (Chinook salmon)
omy	Oncorhynchus mykiss (rainbow trout)
ogo	Oncorhynchus gorbuscha (pink salmon)
one	Oncorhynchus nerka (sockeye salmon)
oki	Oncorhynchus kisutch (coho salmon)
oke	Oncorhynchus keta (chum salmon)
omm	Oncorhynchus masou masou (cherry salmon)
ocla	Oncorhynchus clarkii lewisi (westslope cutthroat trout)
salp	Salvelinus sp. IW2-2015 (Arctic char)
snh	Salvelinus namaycush (lake trout)
cclu	Coregonus clupeaformis (lake whitefish)
els	Esox lucius (northern pike)
sfm	Scleropages formosus (Asian bonytongue)
pki	Paramormyrops kingsleyae
aang	Anguilla anguilla (European eel)
arot	Anguilla rostrata (American eel)
ccog	Conger conger (European conger)
loc	Lepisosteus oculatus (spotted gar)
pspa	Polyodon spathula (Mississippi paddlefish)
arut	Acipenser ruthenus (sterlet)
psex	Polypterus senegalus (gray bichir)
lcm	Latimeria chalumnae (coelacanth)
cmk	Callorhinchus milii (elephant shark)
rtp	Rhincodon typus (whale shark)
cpla	Chiloscyllium plagiosum (whitespotted bambooshark)
hoc	Hemiscyllium ocellatum (epaulette shark)
leri	Leucoraja erinaceus (little skate)
pmrn	Petromyzon marinus (sea lamprey)
lrj	Lethenteron reissneri (Far Eastern brook lamprey)
bfo	Branchiostoma floridae (Florida lancelet)
bbel	Branchiostoma belcheri (Belcher's lancelet)
cin	Ciona intestinalis (yellow sea squirt)
sclv	Styela clava (leathery sea squirt)
spu	Strongylocentrotus purpuratus (purple sea urchin)
lpic	Lytechinus pictus (painted urchin)
ajj	Apostichopus japonicus (Japanese sea cucumber)
aplc	Acanthaster planci (crown-of-thorns starfish)
arun	Luidia clathrata (European starfish)
aamu	Asterias amurensis (Northern Pacific seastar)
afil	Amphiura filiformis
ajc	Anneissia japonica (feather star)
sko	Saccoglossus kowalevskii (acorn worm)
pfll	Ptychodera flava
dme	Drosophila melanogaster (fruit fly)
der	Drosophila erecta
dse	Drosophila sechellia
dsi	Drosophila simulans
dya	Drosophila yakuba
dan	Drosophila ananassae
dsr	Drosophila serrata
dpo	Drosophila pseudoobscura
dpe	Drosophila persimilis
dmn	Drosophila miranda
dwi	Drosophila willistoni
dgr	Drosophila grimshawi
dmo	Drosophila mojavensis
daz	Drosophila arizonae
dnv	Drosophila navojoa
dhe	Drosophila hydei
dvi	Drosophila virilis
ccat	Ceratitis capitata (Mediterranean fruit fly)
bod	Bactrocera oleae (olive fruit fly)
bdr	Bactrocera dorsalis (oriental fruit fly)
rze	Rhagoletis zephyria (snowberry fruit fly)
aoq	Anastrepha obliqua (West Indian fruit fly)
alud	Anastrepha ludens (Mexican fruit fly)
tda	Teleopsis dalmanni (Malaysian stalk-eyed fly)
mde	Musca domestica (house fly)
scac	Stomoxys calcitrans (stable fly)
lcq	Lucilia cuprina (Australian sheep blowfly)
lsq	Lucilia sericata (common green bottle fly)
cvj	Calliphora vicina (urban bluebottle blowfly)
gfs	Glossina fuscipes (tsetse fly)
ecoe	Eupeodes corollae
clon	Condylostylus longicornis
his	Hermetia illucens (black soldier fly)
aga	Anopheles gambiae (malaria mosquito)
acoz	Anopheles coluzzii
aara	Anopheles arabiensis
amer	Anopheles merus
aste	Anopheles stephensi (Asian malaria mosquito)
amap	Anopheles maculipalpis
afun	Anopheles funestus (African malaria mosquito)
amou	Anopheles moucheti
aali	Anopheles albimanus
acos	Anopheles coustani
aag	Aedes aegypti (yellow fever mosquito)
aalb	Aedes albopictus (Asian tiger mosquito)
asua	Armigeres subalbatus
cqu	Culex quinquefasciatus (southern house mosquito)
cpii	Culex pipiens pallens (northern house mosquito)
cns	Contarinia nasturtii (swede midge)
bcoo	Bradysia coprophila
lll	Lutzomyia longipalpis
ppap	Phlebotomus papatasi
ame	Apis mellifera (honey bee)
acer	Apis cerana (Asiatic honeybee)
alab	Apis laboriosa (Himalayan honeybee)
adr	Apis dorsata (giant honeybee)
aflr	Apis florea (little honeybee)
bim	Bombus impatiens (common eastern bumble bee)
bbif	Bombus bifarius (two-form bumblebee)
bvk	Bombus vosnesenskii (yellow-faced bumblebee)
bvan	Bombus vancouverensis nearcticus
bhun	Bombus huntii (Hunt bumble bee)
bter	Bombus terrestris (buff-tailed bumblebee)
baff	Bombus affinis (rusty patched bumble bee)
bpyo	Bombus pyrosoma
bpas	Bombus pascuorum (common carder bee)
fvi	Frieseomelitta varia
ccal	Ceratina calcarata (carpenter bee)
obb	Osmia bicornis bicornis (red mason bee)
olg	Osmia lignaria (orchard mason bee)
mgen	Megalopta genalis
nmea	Nomia melanderi (Alkali bee)
cgig	Colletes gigas
soc	Solenopsis invicta (red fire ant)
mpha	Monomorium pharaonis (pharaoh ant)
aec	Acromyrmex echinatior (Panamanian leafcutter ant)
acep	Atta cephalotes (leaf cutting ant)
pbar	Pogonomyrmex barbatus (red harvester ant)
vem	Vollenhovia emeryi
cobs	Cardiocondyla obscurior
tln	Temnothorax longispinosus
hst	Harpegnathos saltator (Jerdon's jumping ant)
dqu	Dinoponera quadriceps
cfo	Camponotus floridanus (Florida carpenter ant)
fex	Formica exsecta (narrow-headed ant)
pmec	Polyergus mexicanus
lhu	Linepithema humile (Argentine ant)
pgc	Pseudomyrmex gracilis (graceful twig ant)
obo	Ooceraea biroi (clonal raider ant)
pcf	Polistes canadensis
pfuc	Polistes fuscatus (common paper wasp)
vps	Vespula pensylvanica (western yellowjacket)
vcrb	Vespa crabro (European hornet)
vve	Vespa velutina (Asian hornet)
nvi	Nasonia vitripennis (jewel wasp)
csol	Ceratosolen solmsi marchali (fig wasp)
tpre	Trichogramma pretiosum
lht	Leptopilina heterotoma
lbd	Leptopilina boulardi
mdl	Microplitis demolitor
cglo	Cotesia glomerata
fas	Fopius arisanus
dam	Diachasma alloeum
agif	Aphidius gifuensis
cins	Chelonus insularis
vcan	Venturia canescens
ccin	Cephus cinctus (wheat stem sawfly)
dsm	Diprion similis
npt	Neodiprion pinetum (white pine sawfly)
nfb	Neodiprion fabricii
nlo	Neodiprion lecontei (redheaded pine sawfly)
nvg	Neodiprion virginianus
aroa	Athalia rosae (coleseed sawfly)
tca	Tribolium castaneum (red flour beetle)
tmol	Tenebrio molitor (yellow mealworm)
dpa	Dendroctonus ponderosae (mountain pine beetle)
esim	Euwallacea similis
efor	Euwallacea fornicatus (polyphagous shot-hole borer)
soy	Sitophilus oryzae (rice weevil)
agrg	Anthonomus grandis grandis (boll weevil)
atd	Aethina tumida (small hive beetle)
cset	Coccinella septempunctata (seven-spotted ladybird)
haxr	Harmonia axyridis (harlequin ladybird)
agb	Anoplophora glabripennis (Asian longhorned beetle)
ldc	Leptinotarsa decemlineata (Colorado potato beetle)
dvv	Diabrotica virgifera virgifera (western corn rootworm)
nvl	Nicrophorus vespilloides (burying beetle)
dcor	Dalotia coriaria (greenhouse rove beetle)
apln	Agrilus planipennis (emerald ash borer)
ppyr	Photinus pyralis (common eastern firefly)
otu	Onthophagus taurus (bull-headed dung beetle)
bmor	Bombyx mori (domestic silkworm)
bman	Bombyx mandarina (wild silkworm)
msex	Manduca sexta (tobacco hornworm)
dpl	Danaus plexippus (monarch butterfly)
bany	Bicyclus anynana (squinting bush brown)
mju	Maniola jurtina (meadow brown)
niq	Nymphalis io (European peacock)
vcd	Vanessa cardui (painted lady)
mcix	Melitaea cinxia (Glanville fritillary)
pmac	Papilio machaon (common yellow swallowtail)
ppot	Papilio polytes (common Mormon)
pxu	Papilio xuthus (Asian swallowtail)
bphi	Battus philenor (pipe-vine swallowtail)
prap	Pieris rapae (cabbage white)
pbx	Pieris brassicae (large cabbage white)
pnap	Pieris napi (green-veined white)
zce	Zerene cesonia (dogface butterfly)
ccrc	Colias croceus (clouded yellow)
lsin	Leptidea sinapis (Wood White)
aage	Aricia agestis (brown argus)
haw	Helicoverpa armigera (cotton bollworm)
hze	Helicoverpa zea (corn earworm)
tnl	Trichoplusia ni (cabbage looper)
sliu	Spodoptera litura (tobacco cutworm)
ofu	Ostrinia furnacalis (Asian corn borer)
onu	Ostrinia nubilalis (European corn borer)
atra	Amyelois transitella (navel orangeworm)
gmw	Galleria mellonella (greater wax moth)
pxy	Plutella xylostella (diamondback moth)
pgw	Pectinophora gossypiella (pink bollworm)
lgly	Leguminivora glycinivorella (soybean pod borer)
cstb	Cydia strobilella (spruce-seed moth)
cfel	Ctenocephalides felis (cat flea)
ccrn	Chrysoperla carnea
