Uniprot_ID	KEGG_rno
A0A8L2Q1H5	NA
A0A8L2Q2G6	NA
A0A8L2Q4D1	NA
A0A8L2Q7T7	NA
A0A8L2Q8D2	NA
A0A8L2Q8J4	NA
A0A8L2Q8Q3	NA
A0A8L2Q8Y6	NA
A0A8L2Q989	NA
A0A8L2QAC8	NA
A0A8L2QAI5	NA
A0A8L2QCK9	NA
A0A8L2QD92	NA
A0A8L2QDI1	NA
A0A8L2QE16	NA
A0A8L2QEA3	NA
A0A8L2QED5	NA
A0A8L2QGG1	NA
A0A8L2QGY3	NA
A0A8L2QH70	NA
A0A8L2QHR7	NA
A0A8L2QJJ3	NA
A0A8L2QJL0	NA
A0A8L2QK15	NA
A0A8L2QK18	NA
A0A8L2QLQ8	NA
A0A8L2QV42	NA
A0A8L2QW10	NA
A0A8L2QY15	NA
A0A8L2QZQ5	NA
A0A8L2QZU3	NA
A0A8L2R1W6	NA
A0A8L2R490	NA
A0A8L2R557	NA
A0A8L2R670	NA
A0A8L2R6B1	NA
