Uniprot_ID	KEGG_Gene_ID
O08832	mmu:14426
O08842	mmu:14586
O08848	mmu:20822
O08849	mmu:19735
O08852	mmu:18763
O08858	mmu:20609
O08859	mmu:21930
O08863	mmu:11796
O08900	mmu:22780
O08901	mmu:12235
O08908	mmu:18709
O08911	mmu:29857
O08912	mmu:14423
O08914	mmu:14073
O08915	mmu:11632
O08917	mmu:14251
O08919	mmu:18223
O08934	mmu:22255
O08966	mmu:20517
O08967	mmu:19159
O08969	mmu:22113
O08983	mmu:192236
O08992	mmu:53378
O09000	NA
O09005	mmu:13244
O09008	mmu:17305
O09009	mmu:19719
O09010	mmu:16848
O09012	mmu:19305
O09037	mmu:19694
O09039	mmu:16923
O09043	mmu:16541
O09044	mmu:20619
O09046	mmu:14204
O09047	mmu:12267
O09049	mmu:19695
O09051	mmu:14916
O09053	mmu:22427
O09061	mmu:19170
O09100	mmu:14461
O09102	mmu:107889
O09105	mmu:11923
O09106	mmu:433759
O09110	mmu:26397
O09112	mmu:18218
O09113	mmu:18420
O09114	mmu:19215
O09118	mmu:18208
O09126	mmu:20354
O09127	mmu:13842
O09130	mmu:18020
O09131	mmu:14873
O09159	mmu:17159
O09160	mmu:14343
O09161	mmu:12373
O09164	mmu:20657
O09165	mmu:12372
O09167	mmu:19933
O09172	mmu:14630
O09173	mmu:15233
O09174	mmu:17117
O09198	mmu:17153
O35047	mmu:19183
O35054	mmu:12740
O35074	mmu:19223
O35082	mmu:16591
O35083	mmu:55979
O35084	mmu:13115
O35085	mmu:11878
O35089	mmu:12794
O35099	mmu:26408
O35111	mmu:16527
O35114	mmu:12492
O35118	mmu:14587
O35125	mmu:16977
O35126	mmu:13498
O35129	mmu:12034
O35130	mmu:14791
O35134	mmu:20019
O35136	mmu:17968
O35137	mmu:11695
O35143	mmu:11983
O35144	mmu:21750
O35149	mmu:22785
O35160	mmu:18742
O35161	mmu:12614
O35173	mmu:16538
O35174	mmu:16539
O35177	mmu:18003
O35181	mmu:18183
O35182	mmu:17130
O35185	mmu:20893
O35188	mmu:20312
O35206	mmu:12819
O35216	mmu:12615
O35219	mmu:16511
O35226	mmu:19185
